identifier	time_total_s	time_perevent_s
Reader:EventGenerator	3.665	0.3665
Writer:CsvParticleWriter	1.264	0.1264
Writer:RootParticleWriter	0.4524	0.04524
Algorithm:ParticleSelector	0.02137	0.002137
Algorithm:FatrasSimulation	2.779	0.2779
Writer:CsvParticleWriter	0.2109	0.02109
Writer:CsvParticleWriter	0.1999	0.01999
Writer:CsvSimHitWriter	2.855	0.2855
Writer:RootParticleWriter	0.06806	0.006806
Writer:RootParticleWriter	0.07719	0.007719
Writer:RootSimHitWriter	0.9011	0.09011
Algorithm:DigitizationAlgorithm	0.8552	0.08552
Writer:RootMeasurementWriter	1.625	0.1625
Writer:CsvMeasurementWriter	2.537	0.2537
Algorithm:TruthSeedSelector	5.245	0.5245
Algorithm:SpacePointMaker	0.1114	0.01114
Algorithm:SeedingAlgorithm	4.794	0.4794
Algorithm:TrackParamsEstimationAlgorithm	0.2488	0.02488
Algorithm:SeedsToPrototracks	0.04642	0.004642
Writer:SeedingPerformanceWriter	1.04	0.104
Writer:RootTrackParameterWriter	1.62	0.162
Writer:CsvSeedWriter	4.8	0.48
Algorithm:TrackFindingAlgorithm	177.9	17.79
Writer:RootTrackStatesWriter	28.55	2.855
Writer:RootTrackSummaryWriter	1.243	0.1243
Writer:CKFPerformanceWriter	0.9974	0.09974
Writer:CsvTrackWriter	0.8248	0.08248
Algorithm:GreedyAmbiguityResolutionAlgorithm	2.286	0.2286
Writer:RootTrackStatesWriter	2.504	0.2504
Writer:RootTrackSummaryWriter	0.1452	0.01452
Writer:CKFPerformanceWriter	0.853	0.0853
Writer:CsvTrackWriter	0.08869	0.008869
Algorithm:TracksToParameters	0.0009517	9.517e-05
Algorithm:IterativeVertexFinder	0.4189	0.04189
Writer:VertexPerformanceWriter	0.2672	0.02672
