identifier	time_total_s	time_perevent_s
Reader:EventGenerator	129.5	0.2589
Algorithm:ParticleSelector	0.9308	0.001862
Algorithm:Geant4Simulation	1.165e+04	23.29
Algorithm:DigitizationAlgorithm	41.92	0.08384
Writer:RootMeasurementWriter	189.5	0.379
Algorithm:TruthSeedSelector	320.9	0.6419
Algorithm:SpacePointMaker	4.626	0.009253
Algorithm:SeedingAlgorithm	749.9	1.5
Algorithm:TrackParamsEstimationAlgorithm	18.84	0.03768
Algorithm:SeedsToPrototracks	2.671	0.005342
Writer:SeedingPerformanceWriter	40.26	0.08052
Writer:RootTrackParameterWriter	168	0.3359
Writer:CsvSeedWriter	258	0.516
Algorithm:SeedFilterMLAlgorithm	93.91	0.1878
Algorithm:SeedsToPrototracks	0.8815	0.001763
Writer:SeedingPerformanceWriter	33.89	0.06778
Writer:RootTrackParameterWriter	26.11	0.05221
Writer:CsvSeedWriter	39.56	0.07912
Algorithm:TrackFindingAlgorithm	2124	4.248
Algorithm:TracksToTrajectories	0.4569	0.0009137
Writer:RootTrajectoryStatesWriter	602.3	1.205
Writer:RootTrajectorySummaryWriter	36.84	0.07367
Writer:CKFPerformanceWriter	39.07	0.07815
Writer:CsvMultiTrajectoryWriter	13.27	0.02654
Algorithm:GreedyAmbiguityResolutionAlgorithm	46.79	0.09359
Algorithm:TracksToTrajectories	0.06649	0.000133
Writer:RootTrajectoryStatesWriter	126.1	0.2522
Writer:RootTrajectorySummaryWriter	6.982	0.01396
Writer:CKFPerformanceWriter	34.48	0.06895
Writer:CsvMultiTrajectoryWriter	2.715	0.005431
Algorithm:IterativeVertexFinder	13.48	0.02696
Writer:VertexPerformanceWriter	14.79	0.02958
